Protein IDs,Symbols,log2FC,adj.pvalue
Q6P4Q7;C7SQM4;C7SQM5;C7SQM3;B7Z1U0,CNNM4,-0.84721873288475,0.0539451
Q99996;Q96KG3;H7BYL6;Q5GIA7;A4D1E4;B3KQF9;Q6PJH3;Q9UFL2;H7BZV6;Q8IW64;H0Y6Q0,AKAP9,-0.94767992452122,0.0313848
Q8N8J7,C4orf32,-1.04470307341959,0.0338745
Q13137;B4E1X7;D6REB0;D6RF70;D6RJE7;H0Y9G3;D6RBI4;I3L493;H0YBP4;I3L4E1;D6RBF9,CALCOCO2,-0.9680153481068,0.0107243
O00212;E9PIG5;E9PMC8,RHOD,-0.75179188608291,0.127362
Q8WW22;F5H170;C9JDE6;Q8N2A9;Q9P1H1;F8WF76;Q7Z4D5;F5GWV1,DNAJA4,-0.56707374647941,0.198473
P50224;Q1ET61;Q1ET62;Q1ET63;Q2TAB3;B3KT14;P50225;Q1ET64;Q1ET65;H3BRY5;H3BQX5;H3BPL6;H3BNY7,SULT1A1;SULT1A3;SULT1A4,-0.94858099884868,0.0189168
P23229;C9JXX7;H7BZ97,ITGA6,-0.61002890135937,0.165958
B2RE24;O43570;B3KUB4,CA12,-1.00292189527976,0.0148366
A5PLM9;B3KQK4;P07711;Q5T8F0;Q9HBQ7;Q6LAF7;Q5K630,CTSL,-0.72163533919745,0.0545987
Q96K17;Q6PJ77;E9PL10,BTF3L4,-1.14355646034587,0.0048159
Q56P03;G3V2W9,EAPP,-0.76403324767997,0.112009
O95631,NTN1,-1.29175270403303,0.0215316
O00762;Q5TZN3;B2R4U3;K4DI81,UBE2C,-0.69335439513681,0.0654141
Q06481;B4E3I5;F5GZY0;F5H845;B4DTV1;B4DKY3;E9PQS3;E9PSC7;E9PK76,APLP2,-0.69102772070802,0.0783478
B7Z6K5;F5GYC9;Q9BQI0;Q5JUP3;A6PVM9,AIF1L,-0.95467801563514,0.0289647
P36896;F5H5Q2,ACVR1B,-0.68713736115961,0.0841574
